term_id,taxonomy,slug,name,count,new_type,new_slug,action
889,post_tag,project-delivery,Project Delivery,1,,,
888,post_tag,dbia,DBIA,1,,,REMOVE
885,post_tag,independent-schools,Independent Schools,1,cg_sector,higher-education,
914,post_tag,community-colleges,community colleges,1,cg_sector,higher-education,
913,post_tag,tribal-gaming,Tribal gaming,1,cg_sector,hospitality-gaming,
909,post_tag,ipd,IPD,1,,,REMOVE
862,post_tag,construction,construction,0,,,
864,post_tag,education,Education,6,cg_sector,hospitality-gaming,
865,post_tag,south-carolina,South Carolina,7,cg_office,columbia,
866,post_tag,k-12,K-12,6,cg_sector,k-12-education,
869,post_tag,scup,SCUP,1,,,REMOVE
870,post_tag,university,University,2,cg_sector,higher-education,
872,post_tag,philadelphia,Philadelphia,1,cg_office,philadelphia,
908,post_tag,transportation,Transportation,1,cg_sector,transportation,
907,post_tag,municipal,Municipal,1,cg_sector,public-sector,
878,post_tag,sustainability,Sustainability,1,cg_services,energy-sustainability-solutions,
879,post_tag,real-estate,Real Estate,1,,,
881,post_tag,luxury-hospitality,Luxury Hospitality,2,cg_sector,luxury-hospitality,
883,post_tag,k-12-education,K-12 Education,1,cg_sector,k-12-education,
884,post_tag,new-jersey,New Jersey,2,cg_office,cranford,
886,post_tag,finance-and-officers,Finance and Officers,1,,,REMOVE
