"term_id","taxonomy","slug","name","count","new_type","new_slug","action","notes"
"850","portfolio_tags","stoke-on-trent","Stoke-on-Trent","18","office","stoke-on-trent","RELATIONSHIP",""
"904","portfolio_tags","oslo","Oslo","4","office","oslo","RELATIONSHIP",""
"905","portfolio_tags","italy","Italy","1","office","milan","RELATIONSHIP",""
"342","portfolio_tags","nashville","Nashville","17","office","nashville","RELATIONSHIP",""
"379","portfolio_tags","netherlands","Netherlands","0","office","","RELATIONSHIP",""
"394","portfolio_tags","portland","Portland","22","office","portland","RELATIONSHIP",""
"396","portfolio_tags","atlanta","Atlanta","2","office","atlanta","RELATIONSHIP",""
"420","portfolio_tags","dublin","Dublin","10","office","dublin","RELATIONSHIP",""
"421","portfolio_tags","cork","Cork","8","office","cork","RELATIONSHIP",""
"422","portfolio_tags","dallas","Dallas","11","office","fort-worth","RELATIONSHIP",""
"424","portfolio_tags","aia-healthcare","AIA Healthcare","6","office","","RELATIONSHIP",""
"427","portfolio_tags","dusseldorf","Dusseldorf","8","office","dusseldorf","RELATIONSHIP",""
"428","portfolio_tags","belfast","Belfast","6","office","belfast","RELATIONSHIP",""
"429","portfolio_tags","berlin","Berlin","6","office","berlin","RELATIONSHIP",""
"430","portfolio_tags","munich","Munich","6","office","munich","RELATIONSHIP",""
"431","portfolio_tags","paris","Paris","5","office","paris","RELATIONSHIP",""
"432","portfolio_tags","reno","Reno","3","office","reno","RELATIONSHIP",""
"434","portfolio_tags","edinburgh","Edinburgh","4","office","edinburgh","RELATIONSHIP",""
"436","portfolio_tags","vail","Vail","2","office","vail","RELATIONSHIP",""
"437","portfolio_tags","cardiff","Cardiff","6","office","cardiff","RELATIONSHIP",""
"492","portfolio_tags","raleigh","Raleigh","6","office","raleigh","RELATIONSHIP",""
"493","portfolio_tags","bend","Bend","4","office","bend","RELATIONSHIP",""
"495","portfolio_tags","program-project-management","Program + Project Management","8","service","program-project-management","RELATIONSHIP",""
"20","portfolio_tags","abu-dhabi","Abu Dhabi","0","office","","RELATIONSHIP",""
"21","portfolio_tags","aliso-viejo","Aliso Viejo","13","office","aliso-viejo","RELATIONSHIP",""
