id,date,title,slug,client,facility,location,start_date,end_date,owner,architect,vendors,contractors,case_study_pdf,sector1,sector2,sector3,sector4,service1,service2,service3,service4,office1,office2,office3,migration_status,migration_note
49739,2022-11-30,"Sony Centre Berlin",sony-centre-berlin,,,,,,,,,,,public-sector,workplace,,,technical-due-dilligence,,,,berlin,,,auto-migrated,
49737,2022-11-30,"Edge Berlin",edge-berlin,,,,,,,,,,,workplace,,,,cost-management,,,,berlin,,,auto-migrated,
49735,2022-11-30,"Hilton Berlin",hilton-berlin,"Hilton Hotels and Resorts",,,,,,,,,,hospitality,,,,cost-management,project-management,,,berlin,,,auto-migrated,
49733,2022-11-30,"LLA Lot 2 Terminal Reconfiguration and Extension",lla-lot-2-terminal-reconfiguration-and-extension-project-curium,"London Luton Airport ",,,,,,,,,,aviation,,,,cost-management,,,,belfast,,,auto-migrated,
49731,2022-11-30,"Coleraine to Londonderry Track Renewals",coleraine-to-londonderry-track-renewals,,,,,,,,,,,rail-mass-transit,,,,cost-management,,,,belfast,,,auto-migrated,
49729,2022-11-30,"BIA Runway Rehabilitation",bia-runway-rehabilitation,,,,,,,,,,,aviation,,,,cost-management,,,,belfast,,,auto-migrated,
49725,2022-11-30,"A5 Western Transport Corridor",a5-western-transport-corridor,,,,,,,,,,,highways,,,,cost-management,,,,belfast,,,auto-migrated,
49751,2022-11-29,"Kimpton De Witt Amsterdam",kimpton-de-witt-amsterdam,,,,,,,,,,,hospitality,hospitality-gaming,,,cost-management,project-management,,,dusseldorf,,,auto-migrated,
49749,2022-11-29,"JW Marriott Venice Resort and Spa",jw-marriott-venice-resort-and-spa,"Marriott Hotels & Resorts",,,,,,,,,,hospitality,hospitality-gaming,,,cost-management,project-management,,,dusseldorf,,,auto-migrated,
48140,2022-08-30,"Friend Family Health",friend-family-health-chicago-il,,,,,,,,,,,healthcare,,,,cost-commercial-management,,,,chicago,,,auto-migrated,
48051,2022-08-29,"Tarrant County Hospital",jps-health-tarrant-county-hospital-fort-worth-tx,"JPS Health",,,,,,,,,,healthcare,,,,cost-commercial-management,,,,fort-worth,,,auto-migrated,
47571,2022-07-27,"Ardmore Studios expansion",ardmore-studios-co-wicklow-ireland,"Ardmore Studios, Co.",,,,,,,,,,workplace,,,,cost-management,,,,cork,,,auto-migrated,
47576,2022-07-27,"Walled Garden",walled-garden-dublin-14-ireland,"Marlet Property Group",,,,,,,,,,residential,,,,cost-management,,,,cork,,,auto-migrated,
47575,2022-07-27,"One & Two Dockland Central",one-two-dockland-central-dublin-1-ireland,,,,,,,,,,,workplace,,,,cost-management,,,,cork,,,auto-migrated,
47574,2022-07-27,"Allied Irish Bank (AIB) Corporate HQ",allied-irish-bank-aib-corporate-hq-nationwide-ireland,,,,,,,,,,,workplace,retail,,,cost-management,,,,cork,,,auto-migrated,
47573,2022-07-27,"Vodafone HQ",vodafone-hq-nationwide-ireland,,,,,,,,,,,workplace,,,,cost-management,project-management,,,cork,,,auto-migrated,
47572,2022-07-27,"EBS Branch Network",ebs-branch-network-nationwide-ireland,,,,,,,,,,,retail,,,,cost-management,,,,cork,,,auto-migrated,
47570,2022-07-27,"Sustainable Energy Authority of Ireland",sustainable-energy-authority-of-ireland-dublin-2-ireland,,,,,,,,,,,workplace,,,,cost-management,,,,cork,,,auto-migrated,
47569,2022-07-27,"Office Refurbishment and Fit-Out",ey-nationwide-ireland,EY,,,,,,,,,,workplace,,,,cost-management,,,,cork,,,auto-migrated,
47553,2022-07-27,"Irish Stock Exchange (Euronext)",irish-stock-exchange-euronext-dublin-2-ireland,,,,,,,,,,,workplace,,,,cost-management,,,,dublin,,,auto-migrated,
47550,2022-07-27,"Global HQ Fit-Out",avolon-aerospace-hq-dublin-4-ireland,"Avalon Aerospace",,,,,,,,,,workplace,,,,cost-management,,,,dublin,,,auto-migrated,
47547,2022-07-27,"One South County",one-south-county-leopardstown-dublin-ireland,,,,,,,,,,,workplace,,,,cost-management,,,,dublin,,,auto-migrated,
47544,2022-07-27,"Motel One",motel-one-dublin-1-ireland,,,,,,,,,,,hospitality,,,,cost-management,project-management,,,dublin,,,auto-migrated,
47541,2022-07-27,"Green Acre Grange",green-acre-grange-dublin-14-ireland,,,,,,,,,,,residential,,,,cost-management,,,,dublin,,,auto-migrated,
47538,2022-07-27,"Dublin Landings",dublin-landings-dublin-1-ireland,,,,,,,,,,,residential,workplace,,,cost-management,,,,dublin,,,auto-migrated,
47536,2022-07-27,"Founders District",founders-district-belfield-dublin-4-ireland,,,,,,,,,,,workplace,,,,cost-management,,,,dublin,,,auto-migrated,
47531,2022-07-27,"Meta Campus",meta-campus-dublin-4-ireland,Meta,,,,,,,,,,workplace,,,,cost-management,,,,dublin,,,auto-migrated,
47103,2022-06-27,"Oregon City Police and Municipal Courts Building",oregon-city-police-and-municipal-courts-building-oregon-city-or,"Oregon City",,,,,,,,,,civic,,,,program-project-management,,,,portland,,,auto-migrated,
47107,2022-06-27,"New Public Works Building",city-of-tualatin-new-public-works-building-tualatin-or,"City of Tualatin",,,,,,,,,,infrastructure,,,,program-project-management,,,,portland,,,auto-migrated,
47105,2022-06-27,"New Public Works Operations Complex",oregon-city-new-public-works-operations-complex-oregon-city-or,"Oregon City Public Works Department",,,,,,,,,,infrastructure,,,,program-project-management,,,,portland,,,auto-migrated,
47100,2022-06-27,"Columbia Gorge Community College",columbia-gorge-community-college-the-dalles-or,"Columbia Gorge Community College s",,,,,,,,,,higher-education,,,,program-project-management,,,,portland,,,auto-migrated,
45573,2022-04-19,"Soho House",soho-house-nashville-tn,"AJ Capital Partners",,,"June 2020","February 2022",,,"EMC Structural Engineers, P.C. (Structural Engineers)",,62024,hospitality-gaming,,,,program-project-management,,,,nashville,,,auto-migrated,
44654,2022-02-28,"Command and Control Center",trimet-command-and-control-center-portland-or,TriMet,,,,,,,,,,civic,,,,program-project-management,,,,portland,,,auto-migrated,
44652,2022-02-28,"Tanner Point",tanner-point-portland-or,"CBRE Global Investors",,,,,,,,,,retail,workplace,,,program-project-management,,,,portland,,,auto-migrated,
44650,2022-02-28,"Randall Children’s Hospital",randall-childrens-hospital-portland-or,"Legacy Emanuel Medical Center",,,,,,,,,,healthcare,,,,program-project-management,,,,portland,,,auto-migrated,
44648,2022-02-28,"Dawson Park",dawson-park-portland-or,"Prosper Portland (PP) and Portland Parks & Recreation (PPR)",,,,,,,,,,culture-non-profit,,,,program-project-management,,,,portland,,,auto-migrated,
44646,2022-02-28,"Port of Portland Headquarters and Parking Garage",port-of-portland-headquarters-and-parking-garage-portland-or,"The Port of Portland",,,,,,,,,,retail,workplace,,,program-project-management,,,,portland,,,auto-migrated,
