id,date,title,slug,news_category,location,byline,reprint_url,reprint_publication,reprint_logo,podcast,season,episode,youtube_url,mp3_url,sector1,sector2,sector3,service1,service2,service3,office1,office2,office3,office4,internal_byline1,internal_byline2,migration_status,migration_note
29244,2018-09-22,"Sustainability efforts grow in SaMo schools",sustainability-efforts-grow-in-samo-schools,,,,,,,,,,,,,,,,,,,,,,,,,
29041,2018-09-05,"Lean, tech, talent training highlight contractor innovations",lean-tech-talent-training-highlight-contractor-innovations,,,,,,,,,,,,,,,,,,,,,,,,,
29343,2018-08-21,"Waldorf Astoria renovation moves into its next phase",waldorf-astoria-renovation-moves-into-its-next-phase,,,,,,,,,,,,,,,,,,,,,,,,,
22393,2018-08-03,"Market Update – Section 232/301 Sanction Impacts to Current Construction Costs",market-update-section-232-301-sanction-impacts-to-current-construction-costs,,,,,,,,,,,,,,,,,,,,,,,,,
22339,2018-08-01,"International Firm to Merge with Midtown Construction Consultant Lehrer",international-firm-to-merge-with-midtown-construction-consultant-lehrer,,,,,,,,,,,,,,,,,,,,,,,,,
22237,2018-08-01,"Lehrer, LLC, a New York-Based Construction Advisory Firm, Merges with Cumming",lehrer-llc-a-new-york-based-construction-advisory-firm-merges-with-cumming,,,,,,,,,,,,,,,,,,,,,,,,,
22234,2018-08-01,"Lehrer, LLC, a New York-Based Construction Advisory Firm, Merges with Cumming, an International Construction Consultancy",lehrer-llc-a-new-york-based-construction-advisory-firm-merges-with-cumming-an-international-construction-consultancy,,,,,,,,,,,,,,,,,,,,,,,,,
22165,2018-07-25,"Kid Friendly South Bay Inn & Suites",kid-friendly-south-bay-inn-suites,,,,,,,,,,,,,,,,,,,,,,,,,
22031,2018-07-16,"South Bay Inn & Suites Opens Its Doors In Myrtle Beach Just In Time For Summer Beachgoers",south-bay-inn-suites-opens-its-doors-in-myrtle-beach-just-in-time-for-summer-beachgoers,,,,,,,,,,,,,,,,,,,,,,,,,
21781,2018-06-28,"Marin Schools Use Summer Vacation for Construction",marin-schools-use-summer-vacation-for-construction,,,,,,,,,,,,,,,,,,,,,,,,,
21710,2018-06-22,"Local Colorado Project Management Firm Oversees Construction of New 25,000-Square-Foot Facility for the Adaptive Sports Center In Crested Butte",local-colorado-project-management-firm-oversees-construction-of-new-25000-square-foot-facility-for-the-adaptive-sports-center-in-crested-butte,,,,,,,,,,,,,,,,,,,,,,,,,
21183,2018-05-21,"Construction for New City of Santa Monica Fire Station to Start This Summer",construction-for-new-city-of-santa-monica-fire-station-to-start-this-summer,,,,,,,,,,,,,,,,,,,,,,,,,
21178,2018-05-18,"It Wasn't Easy, but West Ashley is Getting a New Stono Park Elementary",it-wasnt-easy-but-west-ashley-is-getting-a-new-stono-park-elementary,,,,,,,,,,,,,,,,,,,,,,,,,
20551,2018-04-05,"Construction Consultancy Sees Immediate Growth In Oakland With Local Leadership’s Client First Approach",construction-consultancy-sees-immediate-growth-in-oakland-with-local-leaderships-client-first-approach,,,,,,,,,,,,,,,,,,,,,,,,,
20536,2018-04-03,"Piedmont Tech Gets $1.5M for Manufacturing Center",piedmont-tech-gets-1-5m-for-manufacturing-center,,,,,,,,,,,,,,,,,,,,,,,,,
20510,2018-04-02,"Cumming Employs a Proven Construction Method to Raise Accountability and Keep Building Costs Under Control",cumming-employs-a-proven-construction-method-to-raise-accountability-and-keep-building-costs-under-control,,,,,,,,,,,,,,,,,,,,,,,,,
20506,2018-03-30,"Westfield Designer Discusses Future of Shopping Malls",westfield-designer-discusses-future-of-shopping-malls,,,,,,,,,,,,,,,,,,,,,,,,,
20488,2018-03-27,"Makeover Underway to Bring Restaurant, Wine Bar to DTLA’s Music Center Plaza",makeover-underway-to-bring-restaurant-wine-bar-to-dtlas-music-center-plaza,,,,,,,,,,,,,,,,,,,,,,,,,
20248,2018-03-07,"Construction Consultancy Grows Presence in Pacific Northwest, Welcomes New Leadership",construction-consultancy-grows-presence-in-pacific-northwest-welcomes-new-leadership,,,,,,,,,,,,,,,,,,,,,,,,,
20207,2018-02-22,"Cumming Completes Initial Seven Fatface Stores for U.K. Retailer’s U.S. Debut, Additional East Coast Plans for 2018",cumming-completes-initial-seven-fatface-stores-for-uk-retailers-us-debut-additional-east-coast-plans-for-2018,,,,,,,,,,,,,,,,,,,,,,,,,
20029,2018-02-22,"Lake Wylie Is Still Waiting on Its Sports Park. York County May Ask for Help.",lake-wylie-still-waiting-sports-park-york-county-may-ask-help,,,,,,,,,,,,,,,,,,,,,,,,,
20010,2018-02-21,"Cumming, Gibbs Giden to Host 24th Annual Southern California Development Overview, Legal Review Preview",cumming-gibbs-giden-to-host-24th-annual-southern-california-development-overview-legal-review-preview,,,,,,,,,,,,,,,,,,,,,,,,,
19993,2018-02-17,"Face to Face: Matthew Priddy, Cumming Corp",face-face-matthew-priddy-cumming-corp,,,,,,,,,,,,,,,,,,,,,,,,,
19800,2018-01-29,"Chicago’s Old Main Post Office Making Progress",chicagos-old-main-post-office-making-progress-project-monitoring,,,,,,,,,,,,,,,,,,,,,,,,,
19705,2018-01-18,"Project One Merges With Cumming",project-one-merges-with-cumming-denver-project-management,,,,,,,,,,,,,,,,,,,,,,,,,
19727,2018-01-17,"Construction Consultancy Grows Presence in New England, Welcomes New Leadership",construction-consultancy-grows-presence-in-new-england-welcomes-new-leadership,,,,,,,,,,,,,,,,,,,,,,,,,
19640,2018-01-12,"International Construction Consultancy Merges with Colorado-Based Project One",international-construction-consultancy-merges-with-colorado-based-project-one,,,,,,,,,,,,,,,,,,,,,,,,,
19635,2018-01-11,"Cumming leads repair projects in Newberry County",cumming-leads-repair-projects-in-newberry-county,,,,,,,,,,,,,,,,,,,,,,,,,
19610,2018-01-10,"Newberry County Set to Kick Off Next Phase of Much Needed Repairs",newberry-county-set-to-kick-off-next-phase-of-much-needed-repairs,,,,,,,,,,,,,,,,,,,,,,,,,
19618,2018-01-04,"Price of growth: Fort Mill voters will be asked to OK $190M for 3 new schools, more",price-of-growth-fort-mill-voters-will-be-asked-to-ok-190m-for-3-new-schools-more,,,,,,,,,,,,,,,,,,,,,,,,,
19365,2017-12-26,"Construction Set for $40-Million Music Center Plaza Renovation in Los Angeles",construction-set-for-40-million-music-center-plaza-renovation-los-angeles,,,,,,,,,,,,,,,,,,,,,,,,,
19614,2017-12-19,"Find more funding for new Estancia High aquatic center, Newport-Mesa board tells staffers",find-more-funding-for-new-estancia-high-aquatic-center-newport-mesa-board-tells-staffers,,,,,,,,,,,,,,,,,,,,,,,,,
19025,2017-10-31,"ASTAD set to develop theme park in Qatar",astad-set-to-develop-theme-park-in-qatar,,,,,,,,,,,,,,,,,,,,,,,,,
18703,2017-10-06,"Marriott begins development on Southern California's first Westin in 25 years",marriott-begins-development-on-southern-californias-first-westin-in-25-years,,,,,,,,,,,,,,,,,,,,,,,,,
